model,p,algo,time,epc
ER,0.1,Degree-based,1.022912840002391,1601.0703
ER,0.1,Betweenness,0.1440568190009798,1623.36015
ER,0.1,PageRank,0.0364684220003255,1598.3082
ER,0.1,Greedy,5.799746939002944,1855.91925
ER,0.1,Greedy with MIS,3.477127099000427,1578.0123
ER,0.1,GNN (1 shot),0.5078713149996474,2424.573
ER,0.1,Greedy GNN,4.703924907000328,3057.3882
ER,0.2,Degree-based,0.2266118169973197,25195.85865
ER,0.2,Betweenness,0.3217276849973132,25144.7247
ER,0.2,PageRank,0.2058609369996702,25177.1517
ER,0.2,Greedy,21.689537887999904,27694.9233
ER,0.2,Greedy with MIS,10.064217547000226,25607.1861
ER,0.2,GNN (1 shot),0.4219503179992898,25797.798
ER,0.2,Greedy GNN,5.039673137998761,27290.79405
ER,0.3,Degree-based,0.3294609619988478,33347.29365
ER,0.3,Betweenness,0.3980447230023856,33270.2262
ER,0.3,PageRank,0.2820276849997754,33313.04685
ER,0.3,Greedy,29.401645026999176,34080.34365
ER,0.3,Greedy with MIS,7.024263806999443,33178.85955
ER,0.3,GNN (1 shot),0.4897349809980369,33016.19265
ER,0.3,Greedy GNN,5.237195439000061,33887.20455
ER,0.4,Degree-based,0.3316929559987329,35479.1745
ER,0.4,Betweenness,0.4498968139996577,35460.32985
ER,0.4,PageRank,0.3859647259996563,35453.619
ER,0.4,Greedy,27.945006687001296,35556.08805
ER,0.4,Greedy with MIS,9.37210504700124,35325.5175
ER,0.4,GNN (1 shot),0.5322317149984883,35046.13365
ER,0.4,Greedy GNN,5.162113767000847,35509.7547
ER,0.5,Degree-based,0.3625774680003815,36075.42495
ER,0.5,Betweenness,0.4557444149977527,36055.87965
ER,0.5,PageRank,0.3384795609999855,36060.5466
ER,0.5,Greedy,26.76801309000075,36095.3091
ER,0.5,Greedy with MIS,13.367550300999936,35661.7377
ER,0.5,GNN (1 shot),0.5711083309979585,35675.90595
ER,0.5,Greedy GNN,5.156157417000941,35972.90865
ER,0.6,Degree-based,0.4400204960002156,36242.12835
ER,0.6,Betweenness,0.5449563160000253,36228.95775
ER,0.6,PageRank,0.4080727800028398,36248.16555
ER,0.6,Greedy,46.51468652500262,35800.07355
ER,0.6,Greedy with MIS,13.197600935000082,35968.4334
ER,0.6,GNN (1 shot),0.5554745170011302,35933.5305
ER,0.6,Greedy GNN,5.222955061999528,36134.4807
ER,0.7,Degree-based,0.3646429599975818,36295.23465
ER,0.7,Betweenness,0.5271985430008499,36291.18195
ER,0.7,PageRank,0.3671325540017278,36296.65755
ER,0.7,Greedy,43.54168082999968,35508.71385
ER,0.7,Greedy with MIS,5.771985262001181,35942.0841
ER,0.7,GNN (1 shot),0.5276946929989208,36048.23595
ER,0.7,Greedy GNN,5.072518734999903,36196.8885
ER,0.8,Degree-based,0.3451790469989646,36310.61655
ER,0.8,Betweenness,0.4212046219981857,36311.4063
ER,0.8,PageRank,0.3132482390028599,36312.03675
ER,0.8,Greedy,48.03546745800122,36037.44675
ER,0.8,Greedy with MIS,6.789887846000056,36189.94005
ER,0.8,GNN (1 shot),0.4995058559979952,36146.1852
ER,0.8,Greedy GNN,5.032370262000768,36248.70015
ER,0.9,Degree-based,0.252895104997151,36314.4708
ER,0.9,Betweenness,0.4035806760002742,36313.6068
ER,0.9,PageRank,0.2705040439977892,36314.47485
ER,0.9,Greedy,47.84355267399951,36047.5353
ER,0.9,Greedy with MIS,7.477452445000381,36235.4526
ER,0.9,GNN (1 shot),0.4661037000005308,36235.1637
ER,0.9,Greedy GNN,4.957590300000447,36284.8788
ER,1.0,Degree-based,0.3030438259993389,36315.0
ER,1.0,Betweenness,0.3581972879983368,36315.0
ER,1.0,PageRank,0.2636999709975498,36315.0
ER,1.0,Greedy,299.60127293500045,36315.0
ER,1.0,Greedy with MIS,11.094265190000442,35784.2934
ER,1.0,GNN (1 shot),0.5463277239978197,36315.0
ER,1.0,Greedy GNN,4.841337574998761,36315.0
BA,0.1,Degree-based,0.0030429150028794,26.25885
BA,0.1,Betweenness,0.0786797700020542,27.62775
BA,0.1,PageRank,0.0047642169993196,26.3223
BA,0.1,Greedy,0.3696711960001266,41.14935
BA,0.1,Greedy with MIS,0.2920727799992164,29.3031
BA,0.1,GNN (1 shot),0.0640517149986408,35.77095
BA,0.1,Greedy GNN,1.084666336999362,26.56935
BA,0.2,Degree-based,0.0030619640019722,64.1466
BA,0.2,Betweenness,0.0769728049999685,65.96505
BA,0.2,PageRank,0.004862943002081,63.32175
BA,0.2,Greedy,0.8241749120024906,106.8606
BA,0.2,Greedy with MIS,1.297653810999691,68.6043
BA,0.2,GNN (1 shot),0.0645441950000531,100.77615
BA,0.2,Greedy GNN,1.0910300930008816,65.31435
BA,0.3,Degree-based,0.0033613779996812,117.30285
BA,0.3,Betweenness,0.0788193710031919,125.9766
BA,0.3,PageRank,0.0046422259983955,118.1547
BA,0.3,Greedy,1.9988033680019728,144.2232
BA,0.3,Greedy with MIS,0.280851031999191,136.57275
BA,0.3,GNN (1 shot),0.0645955729996785,237.4542
BA,0.3,Greedy GNN,1.1022079639988078,124.5483
BA,0.4,Degree-based,0.0036832699988735,207.12645
BA,0.4,Betweenness,0.0863440800021635,224.43885
BA,0.4,PageRank,0.0049182809998455,210.4407
BA,0.4,Greedy,3.810749112999474,193.401
BA,0.4,Greedy with MIS,0.4888023399998928,342.7434
BA,0.4,GNN (1 shot),0.0828317150007933,615.7107
BA,0.4,Greedy GNN,1.106025168999622,231.0336
BA,0.5,Degree-based,0.0040198229980887,379.242
BA,0.5,Betweenness,0.0782990810002957,410.7807
BA,0.5,PageRank,0.0059604519992717,376.1532
BA,0.5,Greedy,4.353834680998261,324.70605
BA,0.5,Greedy with MIS,0.3073403310008871,347.35905
BA,0.5,GNN (1 shot),0.0780264989989518,1874.27655
BA,0.5,Greedy GNN,1.09687684200253,438.9201
BA,0.6,Degree-based,0.0048591209997539,747.7515
BA,0.6,Betweenness,0.0799042769976949,829.9233
BA,0.6,PageRank,0.0066704279997793,756.93015
BA,0.6,Greedy,5.938704997002787,516.7611
BA,0.6,Greedy with MIS,0.5125164319997566,772.2621
BA,0.6,GNN (1 shot),0.0919222240008821,5476.2102
BA,0.6,Greedy GNN,1.1117089440012933,924.0993
BA,0.7,Degree-based,0.0072062949984683,1788.94305
BA,0.7,Betweenness,0.0823323069998878,2064.56985
BA,0.7,PageRank,0.0087315669989038,1798.6833
BA,0.7,Greedy,5.061160275003203,1507.64085
BA,0.7,Greedy with MIS,0.3083020520007267,1087.1415
BA,0.7,GNN (1 shot),0.0954773310004384,10847.493
BA,0.7,Greedy GNN,1.095445932001894,2204.62425
BA,0.8,Degree-based,0.0138321170015842,5019.2325
BA,0.8,Betweenness,0.0892588649985555,5392.68705
BA,0.8,PageRank,0.0149246010005299,5033.9097
BA,0.8,Greedy,5.7031268190003175,8743.30335
BA,0.8,Greedy with MIS,1.4919326709987215,2618.18595
BA,0.8,GNN (1 shot),0.1030329920031363,15444.16605
BA,0.8,Greedy GNN,1.1234492029980174,5173.20945
BA,0.9,Degree-based,0.0234328130027279,11283.2676
BA,0.9,Betweenness,0.0975334029972145,10499.4873
BA,0.9,PageRank,0.0240791489995899,11213.7696
BA,0.9,Greedy,5.4104632810012845,15926.83155
BA,0.9,Greedy with MIS,3.904922739999165,2586.9402
BA,0.9,GNN (1 shot),0.1081938489987806,19131.4737
BA,0.9,Greedy GNN,1.1320888430018383,9787.1598
BA,1.0,Degree-based,0.0445539009997446,17615.65725
