model,name_dist,algo,time,epc
ER,uniform,Degree-based,0.9072742739954264,101018.47725
ER,uniform,Betweenness,1.3934219130023848,101016.018
ER,uniform,PageRank,0.872584899996582,101006.73675
ER,uniform,Greedy,137.80288361199928,100930.15575
ER,uniform,Greedy with MIS,34.69693663200087,100754.79075
ER,uniform,GNN (1 shot),1.880850877998455,100929.18825
ER,uniform,Greedy GNN,30.8458687789971,100908.78975
ER,normal,Degree-based,0.8984618850008701,100996.12575
ER,normal,Betweenness,1.391619759000605,101011.16025
ER,normal,PageRank,0.894601218002208,101012.05125
ER,normal,Greedy,210.5018448080009,100762.00875
ER,normal,Greedy with MIS,43.24794685800043,100699.434
ER,normal,GNN (1 shot),1.674824506000732,100944.036
ER,normal,Greedy GNN,30.88640189600119,100448.96625
ER,beta,Degree-based,0.7478540059964871,99744.17175
ER,beta,Betweenness,1.2451634110038867,99934.6455
ER,beta,PageRank,0.7678706090009655,99883.73025
ER,beta,Greedy,91.7275851509985,100149.95925
ER,beta,Greedy with MIS,39.5896779629984,99919.8765
ER,beta,GNN (1 shot),1.506962420004129,99527.9895
ER,beta,Greedy GNN,30.841593499993905,99278.8065
BA,uniform,Degree-based,0.0215379779983777,787.014
BA,uniform,Betweenness,0.2131142869984614,746.44875
BA,uniform,PageRank,0.0216151060012634,624.078
BA,uniform,Greedy,9.999609647995385,825.1695
BA,uniform,Greedy with MIS,1.3698687800006155,785.277
BA,uniform,GNN (1 shot),0.164963032999367,5720.58225
BA,uniform,Greedy GNN,3.751738740000292,730.68975
BA,normal,Degree-based,0.0143800679943524,653.38875
BA,normal,Betweenness,0.2204449350028881,857.403
BA,normal,PageRank,0.0148382760016829,603.23625
BA,normal,Greedy,11.73357560200384,908.12925
BA,normal,Greedy with MIS,5.872129619001498,746.45775
BA,normal,GNN (1 shot),0.1636697630019625,5074.2855
BA,normal,Greedy GNN,3.745768893000786,683.34075
BA,beta,Degree-based,0.0085462760034715,202.29075
BA,beta,Betweenness,0.2237208560036379,214.08525
BA,beta,PageRank,0.0078232849991763,169.5735
BA,beta,Greedy,3.0733073099982,244.31625
BA,beta,Greedy with MIS,0.7639593589992728,262.647
BA,beta,GNN (1 shot),0.1512625179966562,341.289
BA,beta,Greedy GNN,3.841595179997967,190.99575
SW,uniform,Degree-based,0.0425841219985159,13331.853
SW,uniform,Betweenness,0.2618537919988739,14354.58375
SW,uniform,PageRank,0.0452055720015778,8720.16525
SW,uniform,Greedy,11.814433929001098,22829.4765
SW,uniform,Greedy with MIS,2.083077063998644,14012.883
SW,uniform,GNN (1 shot),0.181772160998662,12715.038
SW,uniform,Greedy GNN,5.72041636799986,20338.7535
SW,normal,Degree-based,0.0337009229988325,10740.43575
SW,normal,Betweenness,0.2540230829981738,10023.59925
SW,normal,PageRank,0.0284314060045289,8021.89125
SW,normal,Greedy,16.73548310300248,20302.15725
SW,normal,Greedy with MIS,3.617744680001124,11656.49625
SW,normal,GNN (1 shot),0.1820154899978661,10381.0005
SW,normal,Greedy GNN,5.7087321860017255,12621.708
SW,beta,Degree-based,0.0175533959991298,522.87525
SW,beta,Betweenness,0.2377413430003798,618.0165
SW,beta,PageRank,0.0173088090014061,550.6245
SW,beta,Greedy,1.234242471000471,767.601
SW,beta,Greedy with MIS,1.2541936790003092,638.35875
SW,beta,GNN (1 shot),0.156455068005016,529.6005
SW,beta,Greedy GNN,5.772249397996347,667.14975
