model,p,algo,time,epc
ER,0.1,Degree-based,0.00029615500000090833,0.10047
ER,0.1,Betweenness,0.00036703700000373374,0.100385
ER,0.1,PageRank,0.3125953910000021,0.104635
ER,0.1,Greedy_ES,1.432742429000001,0.09460499882698059
ER,0.1,Greedy_MIS,1.3783125100000007,0.41531
ER,0.1,REGA,0.49836302100000296,0.095455
ER,0.2,Degree-based,0.00018773300000418658,0.199325
ER,0.2,Betweenness,0.00017751299999702042,0.20315
ER,0.2,PageRank,0.0016757859999927405,0.20009
ER,0.2,Greedy_ES,0.00935690500000419,0.19830499589443207
ER,0.2,Greedy_MIS,0.2620871849999986,0.196605
ER,0.2,REGA,0.33555795299999147,0.196945
ER,0.30000000000000004,Degree-based,9.955400000194459e-05,0.298945
ER,0.30000000000000004,Betweenness,0.0001833799999957364,0.298775
ER,0.30000000000000004,PageRank,0.0018758240000096293,0.309995
ER,0.30000000000000004,Greedy_ES,0.020862821999998005,0.29767000675201416
ER,0.30000000000000004,Greedy_MIS,0.9181340250000005,0.89947
ER,0.30000000000000004,REGA,0.5076910519999984,0.298605
ER,0.4,Degree-based,9.215999999412361e-05,0.407235
ER,0.4,Betweenness,0.00019781000000307358,0.4029
ER,0.4,PageRank,0.0016450300000059315,0.393805
ER,0.4,Greedy_ES,0.010710631999998554,0.40612998604774475
ER,0.4,Greedy_MIS,0.27174886400000275,0.401795
ER,0.4,REGA,0.541110070000002,0.40494
ER,0.5,Degree-based,0.00010465599999065489,0.49674
ER,0.5,Betweenness,0.00019024300000580752,0.49402
ER,0.5,PageRank,0.001677026999999498,0.49776
ER,0.5,Greedy_ES,0.012261002000002463,0.49487000703811646
ER,0.5,Greedy_MIS,0.5938251980000047,1.011245
ER,0.5,REGA,0.8035796599999969,0.503455
ER,0.6,Degree-based,0.00012775500000827833,0.60231
ER,0.6,Betweenness,0.00019299599999555994,0.592535
ER,0.6,PageRank,0.0017568610000040508,0.60401
ER,0.6,Greedy_ES,0.012680258000003164,0.594914972782135
ER,0.6,Greedy_MIS,1.4306614919999987,2.75876
ER,0.6,REGA,0.5371839480000062,0.595
ER,0.7000000000000001,Degree-based,8.728100000610084e-05,0.692155
ER,0.7000000000000001,Betweenness,0.00019433900000365156,0.70193
ER,0.7000000000000001,PageRank,0.0016697500000049104,0.6953
ER,0.7000000000000001,Greedy_ES,0.013352263000001585,0.698104977607727
