model,p,algo,time,epc,epc_std
ER,0.0,Greedy_ES_initial,2.667464200001632,0.0,0.0
ER,0.0,Greedy_ES_final,4.447332699999606,0.0,0.0
ER,0.0,Greedy_MIS_initial,3.612533819999771,0.0,0.0
ER,0.0,Greedy_MIS_final,55.021284899999955,0.0,0.0
ER,0.1,Greedy_ES_initial,0.5115347999999358,16.4330997467041,0.0
ER,0.1,Greedy_ES_final,11.093040600000677,16.14465,0.0
ER,0.1,Greedy_MIS_initial,3.529505359999894,17.395335,0.18184121376904608
ER,0.1,Greedy_MIS_final,154.74349559999973,16.31772,0.08880501168290017
ER,0.2,Greedy_ES_initial,1.3853737999997975,47.0119514465332,0.0
ER,0.2,Greedy_ES_final,20.485133000000133,46.69605,0.0
ER,0.2,Greedy_MIS_initial,5.528540429999884,51.677459999999996,0.6473227335726749
ER,0.2,Greedy_MIS_final,283.38227899999947,47.260935,0.28266907157487065
ER,0.30000000000000004,Greedy_ES_initial,5.327460099999371,123.36750030517578,0.0
ER,0.30000000000000004,Greedy_ES_final,19.64465580000069,121.55625,0.0
ER,0.30000000000000004,Greedy_MIS_initial,4.690038750000349,138.91770000000002,2.3267587486673356
ER,0.30000000000000004,Greedy_MIS_final,419.3667596999985,117.47835,0.8386486183140119
ER,0.4,Greedy_ES_initial,10.924676599999657,308.12445068359375,0.0
ER,0.4,Greedy_ES_final,47.48498690000088,306.4914,0.0
ER,0.4,Greedy_MIS_initial,6.042566530000295,405.11475,9.42733364029831
ER,0.4,Greedy_MIS_final,980.3770074000004,307.41003,1.2958147398837512
ER,0.5,Greedy_ES_initial,13.827529199999844,830.5119018554688,0.0
ER,0.5,Greedy_ES_final,218.41764090000106,794.8962,0.0
ER,0.5,Greedy_MIS_initial,9.379527239999879,1066.96728,21.818084225811386
ER,0.5,Greedy_MIS_final,2267.7590404000002,790.58025,2.3038952407824413
ER,0.6000000000000001,Greedy_ES_initial,17.229499099999884,1658.5213623046875,0.0
ER,0.6000000000000001,Greedy_ES_final,289.90543139999863,1617.26625,0.0
ER,0.6000000000000001,Greedy_MIS_initial,14.532127559999207,1931.0457149999997,40.20751460097383
ER,0.6000000000000001,Greedy_MIS_final,3668.8112708999997,1633.65651,16.756056826007722
ER,0.7000000000000001,Greedy_ES_initial,19.469101800001226,2486.435791015625,0.0
ER,0.7000000000000001,Greedy_ES_final,479.31599910000295,2236.7493,0.0
ER,0.7000000000000001,Greedy_MIS_initial,20.020769309999743,2651.31342,74.41580974686829
ER,0.7000000000000001,Greedy_MIS_final,4756.4565038,2263.11678,66.51848493133012
ER,0.8,Greedy_ES_initial,19.257477900002414,2832.902099609375,0.0
ER,0.8,Greedy_ES_final,519.5991940000022,2656.7145,0.0
ER,0.8,Greedy_MIS_initial,25.336947270000746,3148.875855,76.56355801448379
ER,0.8,Greedy_MIS_final,5362.568788199998,2742.1920450000002,72.45071762526737
ER,0.9,Greedy_ES_initial,18.58251850000306,3042.219482421875,0.0
ER,0.9,Greedy_ES_final,509.16109890000007,2796.0237,0.0
ER,0.9,Greedy_MIS_initial,30.02863563000028,3375.75933,84.87206329654721
ER,0.9,Greedy_MIS_final,5364.296644599999,2855.84742,119.37674513005919
ER,1.0,Greedy_ES_initial,31.40399549999711,3151.1875,0.0
ER,1.0,Greedy_ES_final,516.4474458999975,3003.60015,0.0
ER,1.0,Greedy_MIS_initial,32.166204270000165,3398.04234,139.21500171780298
ER,1.0,Greedy_MIS_final,4335.525845600001,3090.6921599999996,108.6904296923096
