model,p,algo,time,epc,epc_std
ER,0.0,REGA,9.881264589999773,0.0,0
ER,0.1,REGA,16.52287409100063,16.731,0
ER,0.2,REGA,16.185329110001476,46.97595,0
ER,0.30000000000000004,REGA,15.419795840000006,117.2349,0
ER,0.4,REGA,23.909611250001035,308.94255,0
ER,0.5,REGA,54.81606928600013,790.55055,0
ER,0.6000000000000001,REGA,64.70994980099931,1625.589,0
ER,0.7000000000000001,REGA,125.12737514299988,2224.6344,0
ER,0.8,REGA,106.97366046699972,2654.28855,0
ER,0.9,REGA,131.59818541700042,2919.357,0
ER,1.0,REGA,290.0989271159997,2783.8746,0
BA,0.0,REGA,8.279386606000116,0.0,0
BA,0.1,REGA,11.385980372000631,7.93755,0
BA,0.2,REGA,10.881007185000271,18.1206,0
BA,0.30000000000000004,REGA,13.536574120998921,32.63265,0
BA,0.4,REGA,10.565353858999515,52.25805,0
BA,0.5,REGA,13.798139085998628,80.93025,0
BA,0.6000000000000001,REGA,19.798261433001244,120.2076,0
BA,0.7000000000000001,REGA,29.303810980998605,190.64745,0
BA,0.8,REGA,24.928366294001535,284.2722,0
BA,0.9,REGA,52.23397009600012,420.58485,0
BA,1.0,REGA,38.513570651999544,572.6664,0
SW,0.0,REGA,8.484246081001402,0.0,0
SW,0.1,REGA,15.10947465100071,19.45305,0
SW,0.2,REGA,19.58043199900021,53.0487,0
SW,0.30000000000000004,REGA,21.90522952199899,125.8047,0
SW,0.4,REGA,33.19379631999982,286.62885,0
SW,0.5,REGA,89.17854024400003,722.62035,0
SW,0.6000000000000001,REGA,126.90535648500008,1643.89905,0
SW,0.7000000000000001,REGA,245.37352358500175,2268.0837,0
SW,0.8,REGA,207.95647703299983,2516.3406,0
SW,0.9,REGA,221.28203019400098,2562.68115,0
SW,1.0,REGA,118.69004951999887,2693.0052,0
