model,p,algo,time,epc,epc_std
ER,0.0,Degree-based,3.1386206000024686,0.0,0.0
ER,0.0,Betweenness,0.056626400000823196,0.0,0.0
ER,0.0,PageRank,0.02504880000196863,0.0,0.0
ER,0.0,Greedy_ES_initial,0.046564799995394424,0.0,0.0
ER,0.0,Greedy_ES_final,1.5605844000019715,0.0,0.0
ER,0.0,REGA,2.4266777000011643,0.0,0.0
ER,0.0,grasp,5.00099919999775,0.0,0.0
ER,0.0,grasp_path_relink,4.888874399999622,0.0,0.0
ER,0.1,Degree-based,0.16051680000236956,395.7472,0.0
ER,0.1,Betweenness,0.19468349999806378,395.4384,0.0
ER,0.1,PageRank,0.1607752999989316,392.954,0.0
ER,0.1,Greedy_ES_initial,3.1765688999948907,391.0164,0.0
ER,0.1,Greedy_ES_final,27.105233999995107,387.8186,0.0
ER,0.1,REGA,58.27141219999612,395.9478,0.0
ER,0.1,grasp,45.87449789999664,393.8334,0.0
ER,0.1,grasp_path_relink,53.020217199999024,388.3952,0.0
ER,0.2,Degree-based,0.26703469999483787,740.6852,0.0
ER,0.2,Betweenness,0.28582079999614507,736.2256,0.0
ER,0.2,PageRank,0.3084154999960447,739.0434,0.0
ER,0.2,Greedy_ES_initial,8.458507199997257,739.051,0.0
ER,0.2,Greedy_ES_final,70.80858620000072,737.524,0.0
ER,0.2,REGA,49.07338719999825,741.5432,0.0
ER,0.2,grasp,106.14307679999911,737.1612,0.0
ER,0.2,grasp_path_relink,118.9017687999949,737.9158,0.0
ER,0.30000000000000004,Degree-based,0.2903829999995651,775.9838,0.0
ER,0.30000000000000004,Betweenness,0.3116915999999037,774.7724,0.0
ER,0.30000000000000004,PageRank,0.3391117999999551,775.7544,0.0
ER,0.30000000000000004,Greedy_ES_initial,17.02963570000429,773.9898,0.0
ER,0.30000000000000004,Greedy_ES_final,69.56188409999595,770.5734,0.0
ER,0.30000000000000004,REGA,79.56279109999741,769.8408,0.0
ER,0.30000000000000004,grasp,180.3596075000023,770.1228,0.0
