model,p,algo,time,epc,epc_std
SW,0.0,Degree-based,0.02728449999995064,0.0,0.0
SW,0.0,Betweenness,0.07105489999958081,0.0,0.0
SW,0.0,PageRank,0.025385900000401307,0.0,0.0
SW,0.0,Greedy_ES_initial,0.06209310000122059,0.0,0.0
SW,0.0,Greedy_ES_final,1.3703862000038498,0.0,0.0
SW,0.0,REGA,2.6490468999982113,0.0,0.0
SW,0.0,grasp,5.575222699997539,0.0,0.0
SW,0.0,grasp_path_relink,5.647502100000565,0.0,0.0
SW,0.1,Degree-based,0.1737278000000515,413.3122,0.0
SW,0.1,Betweenness,0.19161929999972926,414.7898,0.0
SW,0.1,PageRank,0.15452779999759514,415.0504,0.0
SW,0.1,Greedy_ES_initial,2.9342630000028294,417.5428,0.0
SW,0.1,Greedy_ES_final,39.20793709999998,410.4908,0.0
SW,0.1,REGA,60.840384100003575,410.886,0.0
SW,0.1,grasp,49.91123869999865,414.6588,0.0
SW,0.1,grasp_path_relink,57.529181599995354,411.884,0.0
SW,0.2,Degree-based,0.2795477999970899,746.0954,0.0
SW,0.2,Betweenness,0.33951019999949494,745.7014,0.0
SW,0.2,PageRank,0.2835840999978245,745.637,0.0
SW,0.2,Greedy_ES_initial,8.958681299998716,748.9712,0.0
SW,0.2,Greedy_ES_final,51.19963260000077,746.7306,0.0
SW,0.2,REGA,28.17442160000064,750.6302,0.0
SW,0.2,grasp,86.27375080000638,746.1898,0.0
SW,0.2,grasp_path_relink,110.04343879999942,744.992,0.0
SW,0.30000000000000004,Degree-based,0.36370590000296943,776.75,0.0
SW,0.30000000000000004,Betweenness,0.3365283000021009,776.8032,0.0
SW,0.30000000000000004,PageRank,0.3615875000032247,776.7896,0.0
SW,0.30000000000000004,Greedy_ES_initial,20.49445459999697,777.1742,0.0
SW,0.30000000000000004,Greedy_ES_final,84.48958510000375,776.7114,0.0
SW,0.30000000000000004,REGA,31.321338400004606,777.278,0.0
SW,0.30000000000000004,grasp,94.12741550000646,777.0696,0.0
SW,0.30000000000000004,grasp_path_relink,111.91409990000102,776.748,0.0
SW,0.4,Degree-based,0.3174241000015172,779.7232,0.0
SW,0.4,Betweenness,0.34270269999979064,779.7748,0.0
SW,0.4,PageRank,0.36188449999463046,779.7468,0.0
