model,dist_func,algo,time,epc,epc_std
ER,uniform,Degree-based,3.6090011000051163,1110.9159,0.0
ER,uniform,Betweenness,0.12613160000182688,683.79975,0.0
ER,uniform,PageRank,0.10203660000115633,1237.6206,0.0
ER,uniform,Greedy_ES_initial,2.9394207000004826,669.01905,0.0
ER,uniform,Greedy_ES_final,45.194103800007724,1303.209,0.0
ER,uniform,REGA,12.598323800004437,812.0772,0.0
ER,uniform,grasp,34.65262259999872,1429.03305,0.0
ER,uniform,grasp_path_relink,86.34629810000479,982.51335,0.0
ER,normal,Degree-based,0.07605530000000726,841.51215,0.0
ER,normal,Betweenness,0.11881719999655616,926.6751,0.0
ER,normal,PageRank,0.059921799998846836,1054.9521,0.0
ER,normal,Greedy_ES_initial,1.6342147999966983,784.4967,0.0
ER,normal,Greedy_ES_final,42.64348520000931,699.0003,0.0
ER,normal,REGA,44.05526799999643,1105.1703,0.0
ER,normal,grasp,52.93224609999743,982.4301,0.0
ER,normal,grasp_path_relink,50.67997969999851,517.1085,0.0
ER,beta,Degree-based,0.01737169999978505,107.77545,0.0
ER,beta,Betweenness,0.09465450000425335,170.45415,0.0
ER,beta,PageRank,0.021590000003925525,106.07355,0.0
ER,beta,Greedy_ES_initial,0.6102114999957848,101.05065,0.0
ER,beta,Greedy_ES_final,2.5694763000064995,117.68895,0.0
ER,beta,REGA,6.867777599996771,128.2509,0.0
ER,beta,grasp,8.372908699995605,132.16365,0.0
ER,beta,grasp_path_relink,7.5782212000049185,81.12555,0.0
