model,dist_func,algo,time,epc,epc_std
SW,uniform,Degree-based,0.07821629999671131,1116.4734,0.0
SW,uniform,Betweenness,0.12734000000637025,902.59425,0.0
SW,uniform,PageRank,0.03956109999853652,605.1627,0.0
SW,uniform,Greedy_ES_initial,1.6974049999989802,245.65275,0.0
SW,uniform,Greedy_ES_final,9.798223600009806,926.4582,0.0
SW,uniform,REGA,15.687010699999519,1033.5807,0.0
SW,uniform,grasp,38.08601489999273,700.3827,0.0
SW,uniform,grasp_path_relink,26.04830920000677,361.64745,0.0
SW,normal,Degree-based,0.08231650000379886,1112.5584,0.0
SW,normal,Betweenness,0.11131229999591596,670.3668,0.0
SW,normal,PageRank,0.08213959999557119,1044.65745,0.0
SW,normal,Greedy_ES_initial,2.234907200007001,568.48905,0.0
SW,normal,Greedy_ES_final,18.805329599999823,1212.69195,0.0
SW,normal,REGA,30.44014849999803,716.1939,0.0
SW,normal,grasp,34.04841249999299,794.34765,0.0
SW,normal,grasp_path_relink,53.982814900009544,546.69105,0.0
SW,beta,Degree-based,0.014861499992548488,111.2598,0.0
SW,beta,Betweenness,0.09355669999786187,150.67215,0.0
SW,beta,PageRank,0.019747999991523102,133.74315,0.0
SW,beta,Greedy_ES_initial,0.19901640000171028,96.9912,0.0
SW,beta,Greedy_ES_final,3.275143399994704,83.6091,0.0
SW,beta,REGA,12.150625099995523,113.06835,0.0
SW,beta,grasp,11.194423399996595,125.55945,0.0
SW,beta,grasp_path_relink,9.441258300008485,96.4764,0.0
