model,p,algo,time,epc,epc_std
BA,0.0,Degree-based,0.006348500000967761,0.0,0.0
BA,0.0,Betweenness,0.08226250000006985,0.0,0.0
BA,0.0,PageRank,0.01766660000066622,0.0,0.0
BA,0.0,Greedy_ES_initial,0.04888340000070457,0.0,0.0
BA,0.0,Greedy_ES_final,0.955310900000768,0.0,0.0
BA,0.0,Greedy_MIS_initial,1.097257019999597,0.0,0.0
BA,0.0,Greedy_MIS_final,21.675777800001015,0.0,0.0
BA,0.0,REGA,23.613896700000623,0.0,0.0
BA,0.0,grasp,3.956849799998963,0.0,0.0
BA,0.0,grasp_path_relink,3.9202977000004466,0.0,0.0
BA,0.1,Degree-based,0.006369099999574246,8.43345,0.0
BA,0.1,Betweenness,0.07077690000005532,8.59725,0.0
BA,0.1,PageRank,0.012264699998922879,7.89615,0.0
BA,0.1,Greedy_ES_initial,0.14078150000023015,8.89425,0.0
BA,0.1,Greedy_ES_final,3.1232783000014024,7.81515,0.0
BA,0.1,Greedy_MIS_initial,0.8011459399998785,9.82179,0.2725101913690571
BA,0.1,Greedy_MIS_final,52.769577500001105,8.156475,0.20640301142425235
BA,0.1,REGA,25.82274580000012,7.92405,0.0
BA,0.1,grasp,5.946255900000324,7.96095,0.0
BA,0.1,grasp_path_relink,5.889547099999618,8.24355,0.0
BA,0.2,Degree-based,0.010731000000305357,19.77525,0.0
BA,0.2,Betweenness,0.08086860000003071,20.826,0.0
BA,0.2,PageRank,0.014829399999143789,18.4041,0.0
BA,0.2,Greedy_ES_initial,0.17353000000002794,18.3051,0.0
BA,0.2,Greedy_ES_final,2.287455099998624,18.9387,0.0
BA,0.2,Greedy_MIS_initial,0.8408481800001028,23.6223,0.5005641906888659
BA,0.2,Greedy_MIS_final,54.11577639999996,18.815985,0.42992718572451283
BA,0.2,REGA,26.41917210000065,18.52065,0.0
BA,0.2,grasp,6.769292500001029,18.2907,0.0
BA,0.2,grasp_path_relink,9.563295799998741,18.4878,0.0
BA,0.30000000000000004,Degree-based,0.00882160000037402,36.1512,0.0
BA,0.30000000000000004,Betweenness,0.07336880000002566,37.6704,0.0
BA,0.30000000000000004,PageRank,0.01209240000025602,32.4594,0.0
BA,0.30000000000000004,Greedy_ES_initial,0.47440370000003895,32.8608,0.0
BA,0.30000000000000004,Greedy_ES_final,1.6679679000008036,32.8563,0.0
BA,0.30000000000000004,Greedy_MIS_initial,0.8763597000006484,45.310905000000005,1.2096880958433047
BA,0.30000000000000004,Greedy_MIS_final,69.45165219999944,32.949855,0.4920521681945934
BA,0.30000000000000004,REGA,25.809890200000154,32.81985,0.0
BA,0.30000000000000004,grasp,6.844399499999781,33.2721,0.0
BA,0.30000000000000004,grasp_path_relink,10.107967500000086,33.71265,0.0
BA,0.4,Degree-based,0.008009300001504016,59.65785,0.0
BA,0.4,Betweenness,0.07837850000032631,62.34435,0.0
BA,0.4,PageRank,0.015392599998449441,52.4025,0.0
BA,0.4,Greedy_ES_initial,0.8970525000004272,52.59015,0.0
BA,0.4,Greedy_ES_final,3.672054599999683,52.7976,0.0
BA,0.4,Greedy_MIS_initial,0.8624887400001171,77.791725,1.2708020755117624
BA,0.4,Greedy_MIS_final,86.18417229999977,52.550325,0.48552511173470764
BA,0.4,REGA,27.02067089999946,52.4475,0.0
BA,0.4,grasp,9.591614900000422,52.1208,0.0
BA,0.4,grasp_path_relink,12.55957589999889,52.0398,0.0
BA,0.5,Degree-based,0.010423800000353367,96.77745,0.0
BA,0.5,Betweenness,0.074288499999966,98.88345,0.0
BA,0.5,PageRank,0.01425549999839859,82.30455,0.0
BA,0.5,Greedy_ES_initial,1.407652699999744,80.17245,0.0
BA,0.5,Greedy_ES_final,2.9862035999994987,80.72595,0.0
BA,0.5,Greedy_MIS_initial,0.9927953499998694,133.641855,1.9911495172952205
BA,0.5,Greedy_MIS_final,97.71694829999979,81.44428500000001,0.861220130701205
BA,0.5,REGA,29.615098899999794,81.32625,0.0
BA,0.5,grasp,13.608731600001192,80.3772,0.0
BA,0.5,grasp_path_relink,26.233616800000163,80.43345,0.0
BA,0.6000000000000001,Degree-based,0.01072779999958584,156.63105,0.0
BA,0.6000000000000001,Betweenness,0.07785919999878388,156.85695,0.0
BA,0.6000000000000001,PageRank,0.017077399999834597,127.2843,0.0
BA,0.6000000000000001,Greedy_ES_initial,2.126130700000431,123.9714,0.0
BA,0.6000000000000001,Greedy_ES_final,9.490933199998835,123.1299,0.0
BA,0.6000000000000001,Greedy_MIS_initial,1.0362126099998932,229.03335,3.1894853965020706
BA,0.6000000000000001,Greedy_MIS_final,98.05545920000077,120.89880000000001,0.4784631427811347
BA,0.6000000000000001,REGA,28.625324599999658,124.3755,0.0
BA,0.6000000000000001,grasp,19.574606100000892,124.7679,0.0
BA,0.6000000000000001,grasp_path_relink,35.510357600000134,120.44565,0.0
BA,0.7000000000000001,Degree-based,0.012108000000807806,264.9501,0.0
BA,0.7000000000000001,Betweenness,0.07791809999980615,255.09645,0.0
BA,0.7000000000000001,PageRank,0.01644059999853198,198.2259,0.0
BA,0.7000000000000001,Greedy_ES_initial,1.8694758000001457,199.00395,0.0
BA,0.7000000000000001,Greedy_ES_final,15.317383499999778,189.40905,0.0
BA,0.7000000000000001,Greedy_MIS_initial,1.1625020299996323,397.78321500000004,9.101139761124706
BA,0.7000000000000001,Greedy_MIS_final,122.8222724999996,182.28357,0.5231730732749919
BA,0.7000000000000001,REGA,32.71970379999948,190.13985,0.0
BA,0.7000000000000001,grasp,22.40970059999927,189.10665,0.0
BA,0.7000000000000001,grasp_path_relink,26.155274999999165,182.15865,0.0
BA,0.8,Degree-based,0.017096999999921536,480.97665,0.0
BA,0.8,Betweenness,0.08177839999916614,420.6447,0.0
BA,0.8,PageRank,0.01857190000009723,316.3023,0.0
BA,0.8,Greedy_ES_initial,2.053599500000928,325.845,0.0
BA,0.8,Greedy_ES_final,22.901226699999825,282.8268,0.0
BA,0.8,Greedy_MIS_initial,1.1793389699996624,717.3628649999999,24.716910651839658
BA,0.8,Greedy_MIS_final,152.37736439999935,283.41657,0.7824815835532474
BA,0.8,REGA,39.84836600000017,283.47705,0.0
BA,0.8,grasp,26.677005499999723,281.9133,0.0
BA,0.8,grasp_path_relink,30.846657899999627,296.26335,0.0
BA,0.9,Degree-based,0.029550699999163044,888.5934,0.0
BA,0.9,Betweenness,0.0864225000004808,706.83885,0.0
BA,0.9,PageRank,0.021538700000746758,510.3549,0.0
BA,0.9,Greedy_ES_initial,1.8033641999991232,1263.9699,0.0
BA,0.9,Greedy_ES_final,28.19261110000116,421.36695,0.0
BA,0.9,Greedy_MIS_initial,1.3199222100005499,1276.754985,56.3286430507253
BA,0.9,Greedy_MIS_final,206.25723929999913,419.73079500000006,1.0538586201312792
BA,0.9,REGA,49.447789300000295,419.4657,0.0
BA,0.9,grasp,29.517985899999985,417.7494,0.0
BA,0.9,grasp_path_relink,33.719925800000055,470.47005,0.0
BA,1.0,Degree-based,0.04182330000003276,1497.66885,0.0
BA,1.0,Betweenness,0.09020270000110031,1075.84875,0.0
BA,1.0,PageRank,0.02317659999971511,749.0934,0.0
BA,1.0,Greedy_ES_initial,1.8934616000005917,1977.6411,0.0
BA,1.0,Greedy_ES_final,34.09011880000071,575.76105,0.0
BA,1.0,Greedy_MIS_initial,1.392737710000074,1973.5685099999998,353.92561292983925
BA,1.0,Greedy_MIS_final,227.96607420000146,572.374125,1.0089962827607357
BA,1.0,REGA,44.35576570000012,572.32485,0.0
BA,1.0,grasp,49.38351490000059,676.2177,0.0
BA,1.0,grasp_path_relink,141.62716630000068,676.2528,0.0
