model,p,algo,time,epc,epc_std
ER,0.0,REGA,65.48126140000022,0.0,0
ER,0.1,REGA,78.85141479999947,16.86195,0
ER,0.2,REGA,65.44894910000221,47.6145,0
ER,0.30000000000000004,REGA,70.57607579999967,120.76785,0
ER,0.4,REGA,78.9637298000016,309.57795,0
ER,0.5,REGA,116.04155499999979,789.44625,0
ER,0.6000000000000001,REGA,120.90125029999763,1623.2832,0
ER,0.7000000000000001,REGA,104.30417609999859,2246.7366,0
ER,0.8,REGA,67.01293540000188,2652.1074,0
ER,0.9,REGA,78.81626759999926,2917.3311,0
ER,1.0,REGA,109.16436729999987,2928.5055,0
BA,0.0,REGA,23.061069899998984,0.0,0
BA,0.1,REGA,24.73134950000167,7.8273,0
BA,0.2,REGA,23.93674739999915,19.17945,0
BA,0.30000000000000004,REGA,23.616581199999928,32.50665,0
BA,0.4,REGA,24.768303599998035,52.7895,0
BA,0.5,REGA,27.07520310000109,81.78255,0
BA,0.6000000000000001,REGA,24.485291599998163,125.44695,0
BA,0.7000000000000001,REGA,25.407869700000447,192.2625,0
BA,0.8,REGA,35.81584320000184,283.608,0
BA,0.9,REGA,37.60828360000232,419.2236,0
BA,1.0,REGA,39.37638979999974,571.3443,0
SW,0.0,REGA,23.18173630000092,0.0,0
SW,0.1,REGA,28.55542290000085,19.55205,0
SW,0.2,REGA,29.46003020000353,53.4006,0
SW,0.30000000000000004,REGA,30.353259999999864,128.46285,0
SW,0.4,REGA,35.29245599999922,285.09885,0
SW,0.5,REGA,53.31453329999931,720.1719,0
SW,0.6000000000000001,REGA,71.97638480000023,1638.55935,0
SW,0.7000000000000001,REGA,88.08292580000125,2500.8741,0
SW,0.8,REGA,97.42818439999974,2492.1909,0
SW,0.9,REGA,125.21019909999814,2563.0515,0
SW,1.0,REGA,92.73359459999847,2695.0878,0
