model,p,algo,time,epc,epc_std
ER,0.0,REGA,64.68116510000254,0.0,0
ER,0.1,REGA,66.64104960000259,18.56115,0
ER,0.2,REGA,67.2122229000015,47.41605,0
ER,0.30000000000000004,REGA,72.11453240000264,118.42515,0
ER,0.4,REGA,83.17698920000112,316.4643,0
ER,0.5,REGA,148.42509309999878,789.05565,0
ER,0.6000000000000001,REGA,114.94389899999805,1617.00885,0
ER,0.7000000000000001,REGA,144.88446699999622,2252.09655,0
ER,0.8,REGA,176.69210490000114,2654.8704,0
ER,0.9,REGA,187.4891248999993,2920.53735,0
ER,1.0,REGA,211.98187890000554,2932.5924,0
BA,0.0,REGA,21.902544299999136,0.0,0
BA,0.1,REGA,23.95736190000025,8.42175,0
BA,0.2,REGA,27.55313269999897,18.60615,0
BA,0.30000000000000004,REGA,28.447294799996598,32.97465,0
BA,0.4,REGA,24.15427340000315,51.88365,0
BA,0.5,REGA,25.460173399995256,81.7425,0
BA,0.6000000000000001,REGA,30.134331699999166,119.75445,0
BA,0.7000000000000001,REGA,30.189561699997284,190.55115,0
BA,0.8,REGA,35.43035219999729,283.45905,0
BA,0.9,REGA,44.54971590000059,418.6629,0
BA,1.0,REGA,39.45466369999485,571.74345,0
SW,0.0,REGA,23.36442910000187,0.0,0
SW,0.1,REGA,26.159879299993918,21.105,0
SW,0.2,REGA,28.418145699994056,54.75645,0
SW,0.30000000000000004,REGA,38.66365070000029,120.57525,0
SW,0.4,REGA,35.03567699999985,283.34925,0
SW,0.5,REGA,53.417825299999095,733.5027,0
SW,0.6000000000000001,REGA,78.20671649999713,1637.2485,0
SW,0.7000000000000001,REGA,119.75201450000168,2266.82775,0
SW,0.8,REGA,106.42674359999364,2498.2083,0
SW,0.9,REGA,126.19555510000646,2559.51855,0
SW,1.0,REGA,91.59116419999918,2693.40165,0
