model,p,algo,time,epc,epc_std
ER,0.0,REGA,11.343749279,0.0,0
ER,0.1,REGA,10.918752131999995,18.16785,0
ER,0.2,REGA,11.040907299999986,47.22615,0
ER,0.30000000000000004,REGA,10.506542628000005,119.25315,0
ER,0.4,REGA,11.055398600999993,308.89935,0
ER,0.5,REGA,16.14045014300001,796.32045,0
ER,0.6000000000000001,REGA,17.124659799,1619.9343,0
ER,0.7000000000000001,REGA,32.97517637199999,2249.0514,0
ER,0.8,REGA,26.983259634000007,2646.8487,0
ER,0.9,REGA,35.060044933,2650.18275,0
ER,1.0,REGA,30.003339721000003,2930.8419,0
BA,0.0,REGA,7.503544526999974,0.0,0
BA,0.1,REGA,7.923150448000001,8.37045,0
BA,0.2,REGA,8.207592706000014,18.94725,0
BA,0.30000000000000004,REGA,8.03171900999996,32.4621,0
BA,0.4,REGA,7.919314976999999,52.7562,0
BA,0.5,REGA,8.103725094000026,81.2592,0
BA,0.6000000000000001,REGA,8.404243973000007,125.77815,0
BA,0.7000000000000001,REGA,9.203941848,189.42075,0
BA,0.8,REGA,9.496591803000001,283.1859,0
BA,0.9,REGA,10.836805427999991,420.05025,0
BA,1.0,REGA,10.93133353799999,571.98555,0
SW,0.0,REGA,8.132758896999974,0.0,0
SW,0.1,REGA,10.086472360999949,19.41165,0
SW,0.2,REGA,9.684465842999998,53.3862,0
SW,0.30000000000000004,REGA,11.207193990000007,124.3917,0
SW,0.4,REGA,12.267513607000012,289.45395,0
SW,0.5,REGA,19.31148876000003,720.5463,0
SW,0.6000000000000001,REGA,26.70225913500002,1646.74395,0
SW,0.7000000000000001,REGA,25.161198939999963,2619.25605,0
SW,0.8,REGA,29.138906589999976,2494.29105,0
SW,0.9,REGA,33.452831741999944,2560.3533,0
SW,1.0,REGA,26.87561366,2691.3447,0
