model,p,algo,time,epc,epc_std
BA,0.0,Degree-based,0.0014123350010777358,0.0,0.0
BA,0.0,Betweenness,0.010434083000291139,0.0,0.0
BA,0.0,PageRank,0.002643851999891922,0.0,0.0
BA,0.0,Greedy_ES_initial,0.011708893000104581,0.0,0.0
BA,0.0,Greedy_ES_final,0.0900177799994708,0.0,0.0
BA,0.0,Greedy_MIS_initial,0.33413929249982177,0.0,0.0
BA,0.0,Greedy_MIS_final,4.3122920709993195,0.0,0.0
BA,0.0,REGA,7.517967989000681,0.0,0.0
BA,0.0,grasp,1.1459536880011,0.0,0.0
BA,0.0,grasp_path_relink,1.2506937379985175,0.0,0.0
BA,0.1,Degree-based,0.0011761549994844245,8.38305,0.0
BA,0.1,Betweenness,0.010115058999872417,8.7831,0.0
BA,0.1,PageRank,0.0022718499985785456,7.9398,0.0
BA,0.1,Greedy_ES_initial,0.026281882001057966,10.3635,0.0
BA,0.1,Greedy_ES_final,0.13247253100053058,9.40905,0.0
BA,0.1,Greedy_MIS_initial,0.2851555910998286,9.67437,0.2552641966669045
BA,0.1,Greedy_MIS_final,3.7470249050002167,8.59959,0.21399483031138872
BA,0.1,REGA,7.520931077000569,8.63325,0.0
BA,0.1,grasp,1.1587827629991807,8.064,0.0
BA,0.1,grasp_path_relink,1.2011464110000816,8.09955,0.0
BA,0.2,Degree-based,0.0015121880005608546,19.73385,0.0
BA,0.2,Betweenness,0.01014001899966388,20.64555,0.0
BA,0.2,PageRank,0.002344549999179435,18.5265,0.0
BA,0.2,Greedy_ES_initial,0.07942886199998611,20.13165,0.0
BA,0.2,Greedy_ES_final,0.18507185999987996,18.34335,0.0
BA,0.2,Greedy_MIS_initial,0.3077727554999001,23.8293,0.6589230315446563
BA,0.2,Greedy_MIS_final,4.22072646199922,20.368485000000003,0.9016016110372695
BA,0.2,REGA,7.576787029000116,19.36755,0.0
BA,0.2,grasp,1.6535616649998701,18.43245,0.0
BA,0.2,grasp_path_relink,1.7486603819997981,18.58365,0.0
