model,p,algo,time,epc,epc_std
ER,0.0,Degree-based,0.9569329410005594,0.0,0.0
ER,0.0,Betweenness,0.010264807002386078,0.0,0.0
ER,0.0,PageRank,0.0032163529976969585,0.0,0.0
ER,0.0,Greedy_ES_initial,0.03111415200328338,0.0,0.0
ER,0.0,Greedy_ES_final,0.26113084299868206,0.0,0.0
ER,0.0,Greedy_MIS_initial,0.32467053519940237,0.0,0.0
ER,0.0,Greedy_MIS_final,5.103282399999443,0.0,0.0
ER,0.0,REGA,8.146717514999182,0.0,0.0
ER,0.0,grasp,0.852418228998431,0.0,0.0
ER,0.0,grasp_path_relink,0.8962335249998432,0.0,0.0
ER,0.1,Degree-based,0.0015054460018291138,16.8273,0.0
ER,0.1,Betweenness,0.010367765000410145,16.59735,0.0
ER,0.1,PageRank,0.0025141389996861108,16.5564,0.0
ER,0.1,Greedy_ES_initial,0.04462162400159286,18.1062,0.0
ER,0.1,Greedy_ES_final,1.1436114449970773,16.2198,0.0
ER,0.1,Greedy_MIS_initial,0.2997561691005103,17.73504,0.3430809443848494
ER,0.1,Greedy_MIS_final,9.686142696999013,17.25345,0.566484730156074
ER,0.1,REGA,9.598065483001847,16.92675,0.0
ER,0.1,grasp,1.646150968001166,16.335,0.0
ER,0.1,grasp_path_relink,1.8455982660016161,16.7292,0.0
ER,0.2,Degree-based,0.0021291800003382377,49.2309,0.0
ER,0.2,Betweenness,0.012077073002728866,49.698,0.0
ER,0.2,PageRank,0.0033558350005478133,49.2237,0.0
ER,0.2,Greedy_ES_initial,0.10804625499804388,48.609,0.0
ER,0.2,Greedy_ES_final,1.1037178940023296,47.6289,0.0
ER,0.2,Greedy_MIS_initial,0.31506779859955714,53.027730000000005,0.9541810059417447
ER,0.2,Greedy_MIS_final,16.097860661000595,48.373425,0.9160446804741573
ER,0.2,REGA,9.030204347000108,47.8188,0.0
ER,0.2,grasp,1.8146113809998496,48.5622,0.0
ER,0.2,grasp_path_relink,2.1382795210010954,46.94265,0.0
ER,0.30000000000000004,Degree-based,0.002731090000452241,128.07135,0.0
ER,0.30000000000000004,Betweenness,0.012149244997999631,129.3174,0.0
ER,0.30000000000000004,PageRank,0.004176653001195518,128.9826,0.0
ER,0.30000000000000004,Greedy_ES_initial,0.13126150999960373,117.49905,0.0
ER,0.30000000000000004,Greedy_ES_final,1.5996105959966371,117.25425,0.0
ER,0.30000000000000004,Greedy_MIS_initial,0.3366906468007073,141.93814500000002,4.199357456412225
ER,0.30000000000000004,Greedy_MIS_final,27.205327767998824,118.65402000000002,2.196480637770342
ER,0.30000000000000004,REGA,9.565786101997219,118.1592,0.0
ER,0.30000000000000004,grasp,2.5557716969997273,117.75915,0.0
ER,0.30000000000000004,grasp_path_relink,4.391419318999397,118.55115,0.0
ER,0.4,Degree-based,0.006671098999504466,350.4861,0.0
ER,0.4,Betweenness,0.015920431997074047,353.93085,0.0
ER,0.4,PageRank,0.007736802999716019,354.92805,0.0
ER,0.4,Greedy_ES_initial,0.3150614160003897,307.10745,0.0
ER,0.4,Greedy_ES_final,1.0739725470011763,308.16135,0.0
ER,0.4,Greedy_MIS_initial,0.3831756723004219,406.90296,11.482369374475807
ER,0.4,Greedy_MIS_final,39.77723228600007,312.46308000000005,4.814484525585272
ER,0.4,REGA,10.140314740998292,308.10735,0.0
ER,0.4,grasp,4.682774123000854,307.1466,0.0
ER,0.4,grasp_path_relink,13.14851783099948,306.6723,0.0
ER,0.5,Degree-based,0.010884766998060513,906.2523,0.0
ER,0.5,Betweenness,0.021492943000339437,875.78955,0.0
ER,0.5,PageRank,0.01142134600013378,925.58025,0.0
ER,0.5,Greedy_ES_initial,0.3714472249994287,856.251,0.0
ER,0.5,Greedy_ES_final,2.9189067670013173,794.13885,0.0
ER,0.5,Greedy_MIS_initial,0.4701744159003283,1061.48709,30.83474409925272
ER,0.5,Greedy_MIS_final,70.47533246799867,791.8041599999999,2.0934769667708393
ER,0.5,REGA,13.093373987001542,792.6039,0.0
ER,0.5,grasp,8.48080726000262,792.4527,0.0
ER,0.5,grasp_path_relink,9.702050497999153,792.1971,0.0
ER,0.6000000000000001,Degree-based,0.01924955700087594,1752.45975,0.0
ER,0.6000000000000001,Betweenness,0.030535349000274437,1681.77915,0.0
ER,0.6000000000000001,PageRank,0.02010555699962424,1763.9982,0.0
ER,0.6000000000000001,Greedy_ES_initial,0.4803984019999916,1875.11895,0.0
ER,0.6000000000000001,Greedy_ES_final,9.098170991997904,1631.76525,0.0
ER,0.6000000000000001,Greedy_MIS_initial,0.6212620801008597,1933.2232199999999,40.322875029461876
ER,0.6000000000000001,Greedy_MIS_final,116.18350843200096,1630.633095,14.53772637016275
ER,0.6000000000000001,REGA,13.950087779001478,1625.87745,0.0
ER,0.6000000000000001,grasp,13.732190972001263,1625.121,0.0
ER,0.6000000000000001,grasp_path_relink,15.944648174001486,1692.22185,0.0
ER,0.7000000000000001,Degree-based,0.02583161599977757,2509.8048,0.0
ER,0.7000000000000001,Betweenness,0.03103022499999497,2440.55385,0.0
ER,0.7000000000000001,PageRank,0.023595547001605155,2474.532,0.0
ER,0.7000000000000001,Greedy_ES_initial,0.49954285400235676,2534.2803,0.0
ER,0.7000000000000001,Greedy_ES_final,11.223969521000981,2401.4889,0.0
ER,0.7000000000000001,Greedy_MIS_initial,0.7976132416995825,2647.03221,78.71515782610038
ER,0.7000000000000001,Greedy_MIS_final,175.3056321999975,2241.337815,12.683527111475101
ER,0.7000000000000001,REGA,18.99074721999932,2225.7702,0.0
ER,0.7000000000000001,grasp,20.737194653996994,2352.77505,0.0
ER,0.7000000000000001,grasp_path_relink,18.812973644999147,2368.9971,0.0
