model,p,algo,time,epc,epc_std
ER,0.0,Degree-based,0.9852600470003381,0.0,0.0
ER,0.0,Betweenness,0.010054649999801768,0.0,0.0
ER,0.0,PageRank,0.002970634001030703,0.0,0.0
ER,0.0,Greedy_ES_initial,0.02333847699992475,0.0,0.0
ER,0.0,Greedy_ES_final,0.2891840529991896,0.0,0.0
ER,0.0,Greedy_MIS_initial,0.3932370920998437,0.0,0.0
ER,0.0,Greedy_MIS_final,4.959493127000314,0.0,0.0
ER,0.0,REGA,7.935926833999474,0.0,0.0
ER,0.0,grasp,1.6701398749992222,0.0,0.0
ER,0.0,grasp_path_relink,1.1998479900012171,0.0,0.0
ER,0.1,Degree-based,0.0018456509988027392,16.7301,0.0
ER,0.1,Betweenness,0.009885272000246914,16.7859,0.0
ER,0.1,PageRank,0.0023984429990377976,16.75755,0.0
ER,0.1,Greedy_ES_initial,0.02148763900004269,19.2573,0.0
ER,0.1,Greedy_ES_final,0.1263728190006077,18.85905,0.0
ER,0.1,Greedy_MIS_initial,0.36868873540006464,17.765685,0.39428875969903077
ER,0.1,Greedy_MIS_final,4.790453974001139,17.56467,0.41984436652169055
ER,0.1,REGA,7.94011987399972,19.9395,0.0
ER,0.1,grasp,1.3853413440010627,17.262,0.0
ER,0.1,grasp_path_relink,1.3533998410002823,16.9434,0.0
ER,0.2,Degree-based,0.0018269020001753233,49.20615,0.0
ER,0.2,Betweenness,0.015165994000199134,49.9185,0.0
ER,0.2,PageRank,0.005395723999754409,48.82275,0.0
ER,0.2,Greedy_ES_initial,0.04864848699980939,49.68945,0.0
ER,0.2,Greedy_ES_final,0.18357633100094972,48.96405,0.0
ER,0.2,Greedy_MIS_initial,0.32863513880038225,52.28653499999999,0.7656955175035312
ER,0.2,Greedy_MIS_final,4.703396287999567,50.65551000000001,0.7142825434658197
ER,0.2,REGA,7.921748030001254,54.3267,0.0
ER,0.2,grasp,2.232614103999367,46.8225,0.0
ER,0.2,grasp_path_relink,2.01226018700072,47.0682,0.0
ER,0.30000000000000004,Degree-based,0.002532665999751771,128.23065,0.0
ER,0.30000000000000004,Betweenness,0.010954678000416607,130.2408,0.0
ER,0.30000000000000004,PageRank,0.003402375999939977,129.44475,0.0
ER,0.30000000000000004,Greedy_ES_initial,0.10772140699918964,118.197,0.0
ER,0.30000000000000004,Greedy_ES_final,0.3301151129999198,117.42525,0.0
ER,0.30000000000000004,Greedy_MIS_initial,0.3593527821998578,141.32178,5.124491091571921
ER,0.30000000000000004,Greedy_MIS_final,6.068579598000724,131.63436,5.069155272616927
ER,0.30000000000000004,REGA,8.059917264999967,131.64795,0.0
ER,0.30000000000000004,grasp,4.4908663099995465,119.02185,0.0
ER,0.30000000000000004,grasp_path_relink,4.899638388000312,117.4131,0.0
ER,0.4,Degree-based,0.007950679000714445,350.40285,0.0
ER,0.4,Betweenness,0.015311840001231758,354.3246,0.0
ER,0.4,PageRank,0.008001172000149381,358.4637,0.0
ER,0.4,Greedy_ES_initial,0.29813231399930373,309.9717,0.0
ER,0.4,Greedy_ES_final,0.7794260440005019,308.214,0.0
ER,0.4,Greedy_MIS_initial,0.4129063493001013,405.95386499999995,10.426822470509657
ER,0.4,Greedy_MIS_final,10.062754522999967,369.26437500000003,10.32154801869007
ER,0.4,REGA,8.430213002000528,357.55965,0.0
ER,0.4,grasp,8.529042293999737,309.5667,0.0
ER,0.4,grasp_path_relink,9.258081149000645,303.54615,0.0
ER,0.5,Degree-based,0.010101829999257461,904.401,0.0
ER,0.5,Betweenness,0.021273143000144046,880.36605,0.0
ER,0.5,PageRank,0.011477603000457748,926.55675,0.0
ER,0.5,Greedy_ES_initial,0.46238592800000333,824.46165,0.0
ER,0.5,Greedy_ES_final,1.6464912660012487,789.32835,0.0
ER,0.5,Greedy_MIS_initial,0.4921548886995879,1076.48856,26.452291568603265
ER,0.5,Greedy_MIS_final,19.05033761300001,975.4492050000001,27.452669095731395
ER,0.5,REGA,9.272947265000766,955.19205,0.0
ER,0.5,grasp,14.252643936000823,793.39005,0.0
ER,0.5,grasp_path_relink,17.033881481000208,793.4643,0.0
ER,0.6000000000000001,Degree-based,0.022562440999536193,1741.56255,0.0
ER,0.6000000000000001,Betweenness,0.03011040999990655,1665.4113,0.0
ER,0.6000000000000001,PageRank,0.023610295998878428,1768.66155,0.0
ER,0.6000000000000001,Greedy_ES_initial,0.5307106220006972,1899.19845,0.0
ER,0.6000000000000001,Greedy_ES_final,2.988715441999375,1744.04475,0.0
ER,0.6000000000000001,Greedy_MIS_initial,0.6472691024000596,1951.300935,26.122496251976525
ER,0.6000000000000001,Greedy_MIS_final,30.531280773999242,1829.3382449999997,26.756832318432654
ER,0.6000000000000001,REGA,10.786959601999115,1672.90695,0.0
ER,0.6000000000000001,grasp,20.25612621399887,1662.64515,0.0
ER,0.6000000000000001,grasp_path_relink,20.37447306300055,1667.9493,0.0
ER,0.7000000000000001,Degree-based,0.024541217000660254,2512.23255,0.0
ER,0.7000000000000001,Betweenness,0.03311663100066653,2441.7954,0.0
ER,0.7000000000000001,PageRank,0.024007279998841113,2471.60295,0.0
ER,0.7000000000000001,Greedy_ES_initial,0.559393829000328,2569.45995,0.0
ER,0.7000000000000001,Greedy_ES_final,3.3674548959988897,2456.49015,0.0
ER,0.7000000000000001,Greedy_MIS_initial,0.8112190535997797,2645.761229999999,87.33528415256399
ER,0.7000000000000001,Greedy_MIS_final,35.74243024600037,2565.0054000000005,111.47850037274448
ER,0.7000000000000001,REGA,10.57276070700027,2361.5271,0.0
ER,0.7000000000000001,grasp,20.573582437998994,2362.176,0.0
ER,0.7000000000000001,grasp_path_relink,20.848957509000684,2345.4252,0.0
ER,0.8,Degree-based,0.05786527300006128,3014.45325,0.0
ER,0.8,Betweenness,0.03330422799990629,2986.94835,0.0
ER,0.8,PageRank,0.026034992000859347,2927.5533,0.0
ER,0.8,Greedy_ES_initial,0.6799246779992245,2950.146,0.0
ER,0.8,Greedy_ES_final,3.6473028039999917,2815.9578,0.0
ER,0.8,Greedy_MIS_initial,0.9421327110998391,3101.337945,115.71854931569838
ER,0.8,Greedy_MIS_final,38.676024092999796,2949.91353,148.97969080581777
ER,0.8,REGA,10.929647597999065,2814.74415,0.0
ER,0.8,grasp,21.7594598529995,2665.70325,0.0
