model,p,algo,time,epc
ER,0.0,Greedy,15.078098759000113,0.0
ER,0.1,Greedy,35.166468897000186,17.9685
ER,0.2,Greedy,67.45820842100011,50.301
ER,0.30000000000000004,Greedy,147.93377509800007,128.0565
ER,0.4,Greedy,373.4751653520002,327.843
ER,0.5,Greedy,779.4847567909999,869.1615
ER,0.6000000000000001,Greedy,1358.731470244,1880.739
ER,0.7000000000000001,Greedy,1990.543449851,2439.3825
ER,0.8,Greedy,2706.1649646739997,2939.706
ER,0.9,Greedy,3441.4722446220003,3045.6495
ER,1.0,Greedy,4161.2152522179995,3130.8885
