model,p,algo,time,epc
ER,0.0,Degree-based,0.0007090510002853989,0.0
ER,0.0,Betweenness,0.0091552710000542,0.0
ER,0.0,PageRank,0.0020319969999036402,0.0
ER,0.0,Greedy_ES,1.0961081619998367,0.0
ER,0.0,Greedy_MIS,189.05846146299973,0.0
ER,0.1,Degree-based,0.000578657000005478,16.722
ER,0.1,Betweenness,0.009176733000003878,16.82685
ER,0.1,PageRank,0.0018393269997432071,16.46865
ER,0.1,Greedy_ES,0.15787991200022589,16.538400650024414
ER,0.1,Greedy_MIS,186.5469323090001,16.4394
ER,0.2,Degree-based,0.0006291059999057325,49.51125
ER,0.2,Betweenness,0.009744431999934022,49.82535
ER,0.2,PageRank,0.0017252719999305555,48.65175
ER,0.2,Greedy_ES,0.569486259000314,47.95109939575195
ER,0.2,Greedy_MIS,191.44310627899995,47.4264
ER,0.30000000000000004,Degree-based,0.0009281220000048052,128.49435
ER,0.30000000000000004,Betweenness,0.009208074000071065,130.8366
ER,0.30000000000000004,PageRank,0.0016591260000495822,128.2914
ER,0.30000000000000004,Greedy_ES,1.6664621400000215,122.82074737548828
ER,0.30000000000000004,Greedy_MIS,234.9520773160002,123.5673
ER,0.4,Degree-based,0.0005538679997698637,350.64135
ER,0.4,Betweenness,0.009079692999875988,351.9225
ER,0.4,PageRank,0.0016373930002373527,355.3065
ER,0.4,Greedy_ES,4.046640353999464,307.7892150878906
ER,0.4,Greedy_MIS,301.33991262700056,354.5514
ER,0.5,Degree-based,0.0006018109997967258,907.7751
ER,0.5,Betweenness,0.009377650999340403,875.5911
ER,0.5,PageRank,0.0019584929996199207,926.86545
ER,0.5,Greedy_ES,5.123554935999891,828.0697631835938
ER,0.5,Greedy_MIS,446.22302434299945,1023.2613
ER,0.6000000000000001,Degree-based,0.0005830239997521858,1750.8798
ER,0.6000000000000001,Betweenness,0.00907297799949447,1681.3278
ER,0.6000000000000001,PageRank,0.001797722999981488,1764.0243
ER,0.6000000000000001,Greedy_ES,6.25804966800024,1880.5972900390625
ER,0.6000000000000001,Greedy_MIS,622.1145506029998,1829.95335
ER,0.7000000000000001,Degree-based,0.0005873119998796028,2505.3012
ER,0.7000000000000001,Betweenness,0.008674401999996917,2438.4888
ER,0.7000000000000001,PageRank,0.0015805610000825254,2472.15285
ER,0.7000000000000001,Greedy_ES,5.6397048979997635,2475.86083984375
ER,0.7000000000000001,Greedy_MIS,756.5246676529996,2347.0884
ER,0.8,Degree-based,0.000552883000636939,3019.81815
ER,0.8,Betweenness,0.008930898000471643,2979.03825
ER,0.8,PageRank,0.0017031400002451846,2926.8486
ER,0.8,Greedy_ES,6.258099800999844,2939.307373046875
ER,0.8,Greedy_MIS,1153.3242872140008,2997.9603
ER,0.9,Degree-based,0.0005745030002799467,3350.68155
ER,0.9,Betweenness,0.008979242999885173,3343.8852
ER,0.9,PageRank,0.001601596000000427,3217.68
ER,0.9,Greedy_ES,6.141517314999874,3034.490966796875
ER,0.9,Greedy_MIS,1484.2616870829997,3421.4751
ER,1.0,Degree-based,0.0006228779984667199,3568.8915
ER,1.0,Betweenness,0.009552651999911177,3575.04075
ER,1.0,PageRank,0.0017058200010069413,3404.33955
ER,1.0,Greedy_ES,7.532385038999564,3079.2177734375
ER,1.0,Greedy_MIS,1885.173971364,3088.04625
