model,p,algo,time,epc
SW,0.0,REGA,15.266869499988388,0.0
SW,0.1,REGA,35.542177900031675,21.23775
SW,0.2,REGA,73.24931380001362,60.03315
SW,0.30000000000000004,REGA,155.0085483000148,126.27045
SW,0.4,REGA,446.91799450002145,294.48225
SW,0.5,REGA,1434.516819499957,707.74515
SW,0.6000000000000001,REGA,1819.8904492000001,1596.9564
SW,0.7000000000000001,REGA,2918.773149000015,2276.52615
SW,0.8,REGA,2867.53276989999,2992.22685
SW,0.9,REGA,3056.8581879000412,3021.0165
SW,1.0,REGA,3726.901424599986,2811.5217
