model,p,algo,time,epc
SW,0.0,Degree-based,0.002069599984679371,0.0
SW,0.0,Betweenness,0.03721179999411106,0.0
SW,0.0,PageRank,0.006730400025844574,0.0
SW,0.0,Greedy_ES,4.678820299974177,0.0
SW,0.0,Greedy_MIS,628.6849271999672,0.0
SW,0.1,Degree-based,0.0013239000109024346,19.19385
SW,0.1,Betweenness,0.02090549998683855,20.08665
SW,0.1,PageRank,0.003559799981303513,19.18215
SW,0.1,Greedy_ES,0.5025678000529297,19.42919921875
SW,0.1,Greedy_MIS,590.7480352999992,19.00305
SW,0.2,Degree-based,0.001548200030811131,54.32265
SW,0.2,Betweenness,0.021624299988616258,59.17005
SW,0.2,PageRank,0.003544699982739985,54.49545
SW,0.2,Greedy_ES,1.5647123000235297,52.55595016479492
SW,0.2,Greedy_MIS,775.8270213999785,53.83575
SW,0.30000000000000004,Degree-based,0.0026606000028550625,133.0785
SW,0.30000000000000004,Betweenness,0.033739599981345236,144.22995
SW,0.30000000000000004,PageRank,0.007402199960779399,132.2289
SW,0.30000000000000004,Greedy_ES,4.8774580000317656,119.941650390625
SW,0.30000000000000004,Greedy_MIS,793.6403623000369,125.61435
SW,0.4,Degree-based,0.0012900999863632023,346.58505
SW,0.4,Betweenness,0.0317331999540329,375.04935
SW,0.4,PageRank,0.006918800005223602,345.07215
SW,0.4,Greedy_ES,14.26263640000252,284.64208984375
SW,0.4,Greedy_MIS,894.460014799959,331.7247
SW,0.5,Degree-based,0.0012811000342480838,969.2649
SW,0.5,Betweenness,0.026311499997973442,988.2153
SW,0.5,PageRank,0.004585399990901351,972.162
SW,0.5,Greedy_ES,18.927403300011065,728.7786254882812
SW,0.5,Greedy_MIS,909.4986961999675,892.22895
SW,0.6000000000000001,Degree-based,0.0013327999622561038,2138.88375
SW,0.6000000000000001,Betweenness,0.021546499978285283,2103.26355
SW,0.6000000000000001,PageRank,0.0037878999719396234,2132.01495
SW,0.6000000000000001,Greedy_ES,21.347001900023315,2208.43896484375
SW,0.6000000000000001,Greedy_MIS,1787.1365474999766,1903.3659
SW,0.7000000000000001,Degree-based,0.0011088000028394163,3138.8607
SW,0.7000000000000001,Betweenness,0.01945479999994859,3150.6561
SW,0.7000000000000001,PageRank,0.0037905999924987555,3144.0492
SW,0.7000000000000001,Greedy_ES,21.581471899989992,3097.144287109375
SW,0.7000000000000001,Greedy_MIS,2231.7369084999664,3177.46035
SW,0.8,Degree-based,0.0012115000281482935,3634.16355
SW,0.8,Betweenness,0.01886369998101145,3702.6252
SW,0.8,PageRank,0.003450999967753887,3634.1091
SW,0.8,Greedy_ES,21.827215199999046,3419.68359375
SW,0.8,Greedy_MIS,3518.4457396999933,3556.11555
SW,0.9,Degree-based,0.002496599976439029,3838.83705
SW,0.9,Betweenness,0.022047400008887053,3928.2939
SW,0.9,PageRank,0.011063700017984957,3838.31865
SW,0.9,Greedy_ES,28.283040699956473,3510.00634765625
SW,0.9,Greedy_MIS,3776.615589699999,3599.4681
SW,1.0,Degree-based,0.0012430999777279794,3918.6576
SW,1.0,Betweenness,0.028927400009706616,4005.0
SW,1.0,PageRank,0.00548789999447763,3915.648
SW,1.0,Greedy_ES,139.7712016000296,3825.777099609375
SW,1.0,Greedy_MIS,4077.5752546000294,4005.0
