model,p,algo,time,epc
ER,0.0,Degree-based,0.0013739829992118757,0.0
ER,0.0,Betweenness,0.006520846000057645,0.0
ER,0.0,PageRank,0.0024171509976440575,0.0
ER,0.0,REGA,5.4547781010005565,0.0
ER,0.2,Degree-based,0.0011730160003935453,964.18845
ER,0.2,Betweenness,0.0058724709997477476,963.120825
ER,0.2,PageRank,0.002073342999210581,964.23345
ER,0.2,REGA,286.32987924699773,967.511925
ER,0.4,Degree-based,0.0014512820016534533,989.863425
ER,0.4,Betweenness,0.0059483179975359235,989.797275
ER,0.4,PageRank,0.001992671001062263,989.871525
ER,0.4,REGA,394.96131089900155,989.616825
ER,0.6000000000000001,Degree-based,0.0011575560019991826,989.999325
ER,0.6000000000000001,Betweenness,0.0062648990024172235,989.999775
ER,0.6000000000000001,PageRank,0.0028140419999544974,990.0
ER,0.6000000000000001,REGA,240.8288057819991,989.999775
ER,0.8,Degree-based,0.0011456350002845284,990.0
ER,0.8,Betweenness,0.006106564000219805,990.0
ER,0.8,PageRank,0.002009361000091303,990.0
ER,0.8,REGA,203.95728493799834,990.0
ER,1.0,Degree-based,0.001486986999225337,990.0
ER,1.0,Betweenness,0.006154509999760194,990.0
ER,1.0,PageRank,0.002027545000601094,990.0
ER,1.0,REGA,210.23371782699905,990.0
