model,p,algo,time,epc
SW,0.0,Degree-based,0.0011728279969247524,0.0
SW,0.0,Betweenness,0.006421260000934126,0.0
SW,0.0,PageRank,0.0020765270019182935,0.0
SW,0.0,REGA,5.528545695000503,0.0
SW,0.2,Degree-based,0.0011309750007058028,968.10615
SW,0.2,Betweenness,0.005744451998907607,968.02155
SW,0.2,PageRank,0.0020580250020429958,968.4459
SW,0.2,REGA,323.2014108609983,969.10245
SW,0.4,Degree-based,0.0011738820030586794,989.928
SW,0.4,Betweenness,0.006011543999193236,989.967825
SW,0.4,PageRank,0.0020278030024201144,989.939925
SW,0.4,REGA,376.84688142699815,989.936325
SW,0.6000000000000001,Degree-based,0.0012229800013301428,990.0
SW,0.6000000000000001,Betweenness,0.006342537002637982,990.0
SW,0.6000000000000001,PageRank,0.0020373779989313334,990.0
SW,0.6000000000000001,REGA,202.96581868200155,990.0
SW,0.8,Degree-based,0.0011239729974477086,990.0
SW,0.8,Betweenness,0.006072634998417925,990.0
SW,0.8,PageRank,0.0021444769990921486,990.0
SW,0.8,REGA,197.80343954599812,990.0
SW,1.0,Degree-based,0.0011302720013190992,990.0
SW,1.0,Betweenness,0.005779913000878878,990.0
SW,1.0,PageRank,0.0020854579997831024,990.0
SW,1.0,REGA,200.2899876110023,990.0
