model,p,algo,time,epc
BA,0.0,Degree-based,0.0005730129996663,0.0
BA,0.0,Betweenness,0.0089191799997934,0.0
BA,0.0,PageRank,0.001722367000184,0.0
BA,0.0,Greedy_ES,0.0686818209997,0.0
BA,0.0,Greedy_MIS,167.72616467199987,0.0
BA,0.1,Degree-based,0.0005904280005779,8.36055
BA,0.1,Betweenness,0.0089045759996224,8.66475
BA,0.1,PageRank,0.0016091600009531,7.94565
BA,0.1,Greedy_ES,0.2412624669996148,7.842150211334228
BA,0.1,Greedy_MIS,106.22548578900025,7.91505
BA,0.2,Degree-based,0.0005663609990733,19.61685
BA,0.2,Betweenness,0.0092386880005506,20.4948
BA,0.2,PageRank,0.0021256219988572,18.2511
BA,0.2,Greedy_ES,0.868276937999326,18.35099983215332
BA,0.2,Greedy_MIS,103.76561664899964,18.5274
BA,0.3,Degree-based,0.0005310409997036,35.9883
BA,0.3,Betweenness,0.0097569179997663,37.60515
BA,0.3,PageRank,0.0016710519994376,32.6556
BA,0.3,Greedy_ES,1.9412478129997908,32.554351806640625
BA,0.3,Greedy_MIS,158.33191241900022,52.722
BA,0.4,Degree-based,0.0005775419995188,59.5818
BA,0.4,Betweenness,0.0090589270002965,62.32455
BA,0.4,PageRank,0.0016255240007012,52.2666
BA,0.4,Greedy_ES,3.334688749999259,52.28865051269531
BA,0.4,Greedy_MIS,161.72361019900018,57.19095
BA,0.5,Degree-based,0.0005593909991148,96.60915
BA,0.5,Betweenness,0.0090325380006106,99.0567
BA,0.5,PageRank,0.0017389010008628,82.81125
BA,0.5,Greedy_ES,4.35029729300004,80.50454711914062
BA,0.5,Greedy_MIS,142.7138234590002,81.7308
BA,0.6000000000000001,Degree-based,0.0005375669989007,157.84965
BA,0.6000000000000001,Betweenness,0.0086422000003949,157.51755
BA,0.6000000000000001,PageRank,0.0016302860003634,127.37655
BA,0.6000000000000001,Greedy_ES,4.993952322998666,123.3697509765625
BA,0.6000000000000001,Greedy_MIS,151.70740702699914,124.1334
BA,0.7000000000000001,Degree-based,0.0005646839999826,267.804
BA,0.7000000000000001,Betweenness,0.0086709869992773,253.5102
BA,0.7000000000000001,PageRank,0.0015877559999353,197.29215
BA,0.7000000000000001,Greedy_ES,4.920710857000813,198.03689575195312
BA,0.7000000000000001,Greedy_MIS,184.32874114099832,217.06695
BA,0.8,Degree-based,0.000554849000764,477.44775
BA,0.8,Betweenness,0.0090607230013119,420.16815
BA,0.8,PageRank,0.0016376820003642,316.21995
BA,0.8,Greedy_ES,4.78180200800125,474.56640625
BA,0.8,Greedy_MIS,486.4929809140013,1211.3955
BA,0.9,Degree-based,0.000646061000225,886.94775
BA,0.9,Betweenness,0.0096723309998196,705.2706
BA,0.9,PageRank,0.0017116290000558,504.801
BA,0.9,Greedy_ES,4.849238238999533,1009.2617797851562
BA,0.9,Greedy_MIS,294.5797118819992,655.32195
BA,1.0,Degree-based,0.0005818809986521,1499.45085
BA,1.0,Betweenness,0.0088513009995949,1076.0319
BA,1.0,PageRank,0.0016647200009174,746.54865
