model,p,algo,time,epc,epc_std
ER,0.0,Greedy_ES_naive,1.153436135999982,0.0,0.0
ER,0.0,Greedy_ES_local,1.6610967520000486,0.0,0.0
ER,0.0,Greedy_MIS_naive,1.1174664266000036,0.0,0.0
ER,0.0,Greedy_MIS_local,16.435746041999664,0.0,0.0
ER,0.2,Greedy_ES_naive,13.55447154400008,963.2623291015624,0.0
ER,0.2,Greedy_ES_local,92.6245642469994,962.325,0.0
ER,0.2,Greedy_MIS_naive,16.678655593500025,963.07974,0.0
ER,0.2,Greedy_MIS_local,861.1481317239995,962.5275675,0.0
ER,0.4,Greedy_ES_naive,26.475826769000378,989.6694946289062,0.0
ER,0.4,Greedy_ES_local,97.7769130049992,989.601075,0.0
ER,0.4,Greedy_MIS_naive,26.63087095250012,989.690805,0.0
ER,0.4,Greedy_MIS_local,1001.7459820140002,989.6631525,0.0
ER,0.6000000000000001,Greedy_ES_naive,26.65735496700017,989.9990844726562,0.0
ER,0.6000000000000001,Greedy_ES_local,74.75192384299953,990.0,0.0
ER,0.6000000000000001,Greedy_MIS_naive,29.256995599899614,989.9987175,0.0
ER,0.6000000000000001,Greedy_MIS_local,1024.65941853,989.9963775,0.0
ER,0.8,Greedy_ES_naive,21.87425955100116,990.0,0.0
ER,0.8,Greedy_ES_local,41.86281689699899,990.0,0.0
ER,0.8,Greedy_MIS_naive,25.93163395590018,990.0,0.0
ER,0.8,Greedy_MIS_local,505.5484122000016,989.9999775,0.0
ER,1.0,Greedy_ES_naive,18.338566496999192,990.0,0.0
ER,1.0,Greedy_ES_local,34.4722633270012,990.0,0.0
ER,1.0,Greedy_MIS_naive,18.32250036519981,990.0,0.0
ER,1.0,Greedy_MIS_local,346.25198023600024,990.0,0.0
BA,0.0,Greedy_ES_naive,0.1021010580006986,0.0,0.0
BA,0.0,Greedy_ES_local,0.6459898379998776,0.0,0.0
BA,0.0,Greedy_MIS_naive,0.4601640322998719,0.0,0.0
BA,0.0,Greedy_MIS_local,10.692171428998336,0.0,0.0
BA,0.2,Greedy_ES_naive,4.893816327999957,848.7568969726562,0.0
BA,0.2,Greedy_ES_local,21.44861238399972,847.049625,0.0
BA,0.2,Greedy_MIS_naive,5.176307061499574,848.3281649999999,0.0
BA,0.2,Greedy_MIS_local,426.21640293100063,848.4150825,0.0
BA,0.4,Greedy_ES_naive,6.819693393999842,956.936279296875,0.0
BA,0.4,Greedy_ES_local,77.1702225099998,956.727675,0.0
