model,p,algo,time,epc,epc_std
ER,0.0,REGA,7.089809480999975,0.0,0.0
ER,0.1,REGA,17.369624954999836,20.05155,0.0
ER,0.2,REGA,43.166783101999954,53.5842,0.0
ER,0.3,REGA,135.99465185000008,133.8507,0.0
ER,0.4,REGA,490.451154506,307.83825,0.0
ER,0.5,REGA,1086.752328393,789.2883,0.0
ER,0.6000000000000001,REGA,1672.6395609729998,1619.26875,0.0
ER,0.7000000000000001,REGA,1868.513145872,2275.0092,0.0
ER,0.8,REGA,1881.455846142,2694.1266,0.0
ER,0.9,REGA,1950.866159534,2770.6014,0.0
ER,1.0,REGA,2460.63087474,2859.14835,0.0
BA,0.0,REGA,19.31565420003608,0.0,0.0
BA,0.1,REGA,99.12085130001653,9.65025,0.0
BA,0.2,REGA,241.6962389999535,21.3741,0.0
BA,0.3,REGA,510.5304316999973,32.8338,0.0
BA,0.4,REGA,703.1827482999652,51.8697,0.0
BA,0.5,REGA,983.865220000036,80.9757,0.0
BA,0.6000000000000001,REGA,1321.610705900006,121.04415,0.0
BA,0.7000000000000001,REGA,2068.656225700048,182.6892,0.0
BA,0.8,REGA,2950.548093799968,300.6864,0.0
BA,0.9,REGA,3268.8098309999914,419.18805,0.0
BA,1.0,REGA,5415.453853200015,573.8985,0.0
SW,0.0,REGA,15.266869499988388,0.0,0.0
SW,0.1,REGA,35.542177900031675,21.23775,0.0
SW,0.2,REGA,73.24931380001362,60.03315,0.0
SW,0.3,REGA,155.0085483000148,126.27045,0.0
SW,0.4,REGA,446.9179945000215,294.48225,0.0
SW,0.5,REGA,1434.516819499957,707.74515,0.0
SW,0.6000000000000001,REGA,1819.8904492,1596.9564,0.0
SW,0.7000000000000001,REGA,2918.773149000015,2276.52615,0.0
SW,0.8,REGA,2867.53276989999,2992.22685,0.0
SW,0.9,REGA,3056.858187900041,3021.0165,0.0
SW,1.0,REGA,3726.901424599986,2811.5217,0.0
BA,0.0,Degree-based,0.0005730129996663,0.0,0.0
BA,0.0,Betweenness,0.0089191799997934,0.0,0.0
BA,0.0,PageRank,0.001722367000184,0.0,0.0
BA,0.0,Greedy_ES,0.0686818209997,0.0,0.0
BA,0.0,Greedy_MIS,167.72616467199987,0.0,0.0
BA,0.1,Degree-based,0.0005904280005779,8.36055,0.0
BA,0.1,Betweenness,0.0089045759996224,8.66475,0.0
BA,0.1,PageRank,0.0016091600009531,7.94565,0.0
BA,0.1,Greedy_ES,0.2412624669996148,7.842150211334228,0.0
BA,0.1,Greedy_MIS,106.22548578900025,7.91505,0.0
BA,0.2,Degree-based,0.0005663609990733,19.61685,0.0
BA,0.2,Betweenness,0.0092386880005506,20.4948,0.0
BA,0.2,PageRank,0.0021256219988572,18.2511,0.0
BA,0.2,Greedy_ES,0.868276937999326,18.35099983215332,0.0
BA,0.2,Greedy_MIS,103.76561664899964,18.5274,0.0
BA,0.3,Degree-based,0.0005310409997036,35.9883,0.0
BA,0.3,Betweenness,0.0097569179997663,37.60515,0.0
BA,0.3,PageRank,0.0016710519994376,32.6556,0.0
BA,0.3,Greedy_ES,1.9412478129997908,32.554351806640625,0.0
BA,0.3,Greedy_MIS,158.33191241900022,52.722,0.0
BA,0.4,Degree-based,0.0005775419995188,59.5818,0.0
BA,0.4,Betweenness,0.0090589270002965,62.32455,0.0
BA,0.4,PageRank,0.0016255240007012,52.2666,0.0
BA,0.4,Greedy_ES,3.334688749999259,52.28865051269531,0.0
BA,0.4,Greedy_MIS,161.72361019900018,57.19095,0.0
BA,0.5,Degree-based,0.0005593909991148,96.60915,0.0
BA,0.5,Betweenness,0.0090325380006106,99.0567,0.0
BA,0.5,PageRank,0.0017389010008628,82.81125,0.0
BA,0.5,Greedy_ES,4.35029729300004,80.50454711914062,0.0
BA,0.5,Greedy_MIS,142.7138234590002,81.7308,0.0
BA,0.6000000000000001,Degree-based,0.0005375669989007,157.84965,0.0
BA,0.6000000000000001,Betweenness,0.0086422000003949,157.51755,0.0
BA,0.6000000000000001,PageRank,0.0016302860003634,127.37655,0.0
BA,0.6000000000000001,Greedy_ES,4.993952322998666,123.3697509765625,0.0
BA,0.6000000000000001,Greedy_MIS,151.70740702699914,124.1334,0.0
BA,0.7000000000000001,Degree-based,0.0005646839999826,267.804,0.0
BA,0.7000000000000001,Betweenness,0.0086709869992773,253.5102,0.0
BA,0.7000000000000001,PageRank,0.0015877559999353,197.29215,0.0
BA,0.7000000000000001,Greedy_ES,4.920710857000813,198.03689575195312,0.0
BA,0.7000000000000001,Greedy_MIS,184.32874114099832,217.06695,0.0
BA,0.8,Degree-based,0.000554849000764,477.44775,0.0
BA,0.8,Betweenness,0.0090607230013119,420.16815,0.0
BA,0.8,PageRank,0.0016376820003642,316.21995,0.0
BA,0.8,Greedy_ES,4.78180200800125,474.56640625,0.0
BA,0.8,Greedy_MIS,486.4929809140013,1211.3955,0.0
BA,0.9,Degree-based,0.000646061000225,886.94775,0.0
BA,0.9,Betweenness,0.0096723309998196,705.2706,0.0
BA,0.9,PageRank,0.0017116290000558,504.801,0.0
BA,0.9,Greedy_ES,4.849238238999533,1009.2617797851562,0.0
BA,0.9,Greedy_MIS,294.5797118819992,655.32195,0.0
BA,1.0,Degree-based,0.0005818809986521,1499.45085,0.0
BA,1.0,Betweenness,0.0088513009995949,1076.0319,0.0
BA,1.0,PageRank,0.0016647200009174,746.54865,0.0
BA,1.0,Greedy_ES,4.367723577001016,1979.6192626953125,0.0
BA,1.0,Greedy_MIS,354.4162913609998,851.36985,0.0
ER,0.0,Degree-based,0.0007090510002853,0.0,0.0
ER,0.0,Betweenness,0.0091552710000542,0.0,0.0
ER,0.0,PageRank,0.0020319969999036,0.0,0.0
ER,0.0,Greedy_ES,1.0961081619998367,0.0,0.0
ER,0.0,Greedy_MIS,189.05846146299973,0.0,0.0
ER,0.1,Degree-based,0.0005786570000054,16.722,0.0
ER,0.1,Betweenness,0.0091767330000038,16.82685,0.0
ER,0.1,PageRank,0.0018393269997432,16.46865,0.0
ER,0.1,Greedy_ES,0.1578799120002258,16.538400650024414,0.0
ER,0.1,Greedy_MIS,186.5469323090001,16.4394,0.0
ER,0.2,Degree-based,0.0006291059999057,49.51125,0.0
ER,0.2,Betweenness,0.009744431999934,49.82535,0.0
ER,0.2,PageRank,0.0017252719999305,48.65175,0.0
ER,0.2,Greedy_ES,0.569486259000314,47.95109939575195,0.0
ER,0.2,Greedy_MIS,191.44310627899995,47.4264,0.0
ER,0.3,Degree-based,0.0009281220000048,128.49435,0.0
ER,0.3,Betweenness,0.009208074000071,130.8366,0.0
ER,0.3,PageRank,0.0016591260000495,128.2914,0.0
ER,0.3,Greedy_ES,1.6664621400000217,122.82074737548828,0.0
ER,0.3,Greedy_MIS,234.9520773160002,123.5673,0.0
ER,0.4,Degree-based,0.0005538679997698,350.64135,0.0
ER,0.4,Betweenness,0.0090796929998759,351.9225,0.0
ER,0.4,PageRank,0.0016373930002373,355.3065,0.0
ER,0.4,Greedy_ES,4.046640353999464,307.7892150878906,0.0
ER,0.4,Greedy_MIS,301.33991262700056,354.5514,0.0
ER,0.5,Degree-based,0.0006018109997967,907.7751,0.0
ER,0.5,Betweenness,0.0093776509993404,875.5911,0.0
ER,0.5,PageRank,0.0019584929996199,926.86545,0.0
ER,0.5,Greedy_ES,5.123554935999891,828.0697631835938,0.0
ER,0.5,Greedy_MIS,446.22302434299945,1023.2613,0.0
ER,0.6000000000000001,Degree-based,0.0005830239997521,1750.8798,0.0
ER,0.6000000000000001,Betweenness,0.0090729779994944,1681.3278,0.0
ER,0.6000000000000001,PageRank,0.0017977229999814,1764.0243,0.0
ER,0.6000000000000001,Greedy_ES,6.25804966800024,1880.5972900390625,0.0
ER,0.6000000000000001,Greedy_MIS,622.1145506029998,1829.95335,0.0
ER,0.7000000000000001,Degree-based,0.0005873119998796,2505.3012,0.0
ER,0.7000000000000001,Betweenness,0.0086744019999969,2438.4888,0.0
ER,0.7000000000000001,PageRank,0.0015805610000825,2472.15285,0.0
ER,0.7000000000000001,Greedy_ES,5.639704897999764,2475.86083984375,0.0
ER,0.7000000000000001,Greedy_MIS,756.5246676529996,2347.0884,0.0
ER,0.8,Degree-based,0.0005528830006369,3019.81815,0.0
ER,0.8,Betweenness,0.0089308980004716,2979.03825,0.0
ER,0.8,PageRank,0.0017031400002451,2926.8486,0.0
ER,0.8,Greedy_ES,6.258099800999844,2939.307373046875,0.0
ER,0.8,Greedy_MIS,1153.3242872140008,2997.9603,0.0
