model,p,algo,time,epc
BA,0.0,Degree-based,0.0005730129996663891,0.0
BA,0.0,Betweenness,0.008919179999793414,0.0
BA,0.0,PageRank,0.0017223670001840219,0.0
BA,0.0,Greedy_ES,0.0686818209997,0.0
BA,0.0,Greedy_MIS,167.72616467199987,0.0
BA,0.1,Degree-based,0.0005904280005779583,8.36055
BA,0.1,Betweenness,0.008904575999622466,8.66475
BA,0.1,PageRank,0.0016091600009531248,7.94565
BA,0.1,Greedy_ES,0.24126246699961484,7.8421502113342285
BA,0.1,Greedy_MIS,106.22548578900023,7.91505
BA,0.2,Degree-based,0.0005663609990733676,19.61685
BA,0.2,Betweenness,0.00923868800055061,20.4948
BA,0.2,PageRank,0.002125621998857241,18.2511
BA,0.2,Greedy_ES,0.868276937999326,18.35099983215332
BA,0.2,Greedy_MIS,103.76561664899964,18.5274
BA,0.30000000000000004,Degree-based,0.0005310409997036913,35.9883
BA,0.30000000000000004,Betweenness,0.009756917999766301,37.60515
BA,0.30000000000000004,PageRank,0.0016710519994376227,32.6556
BA,0.30000000000000004,Greedy_ES,1.9412478129997908,32.554351806640625
BA,0.30000000000000004,Greedy_MIS,158.33191241900022,52.722
BA,0.4,Degree-based,0.0005775419995188713,59.5818
BA,0.4,Betweenness,0.009058927000296535,62.32455
BA,0.4,PageRank,0.0016255240007012617,52.2666
BA,0.4,Greedy_ES,3.334688749999259,52.28865051269531
BA,0.4,Greedy_MIS,161.72361019900018,57.19095
BA,0.5,Degree-based,0.0005593909991148394,96.60915
BA,0.5,Betweenness,0.009032538000610657,99.0567
BA,0.5,PageRank,0.0017389010008628247,82.81125
BA,0.5,Greedy_ES,4.35029729300004,80.50454711914062
BA,0.5,Greedy_MIS,142.7138234590002,81.7308
BA,0.6000000000000001,Degree-based,0.0005375669989007292,157.84965
BA,0.6000000000000001,Betweenness,0.00864220000039495,157.51755
BA,0.6000000000000001,PageRank,0.0016302860003634123,127.37655
BA,0.6000000000000001,Greedy_ES,4.993952322998666,123.3697509765625
BA,0.6000000000000001,Greedy_MIS,151.70740702699914,124.1334
BA,0.7000000000000001,Degree-based,0.0005646839999826625,267.804
BA,0.7000000000000001,Betweenness,0.008670986999277375,253.5102
BA,0.7000000000000001,PageRank,0.0015877559999353252,197.29215
BA,0.7000000000000001,Greedy_ES,4.920710857000813,198.03689575195312
BA,0.7000000000000001,Greedy_MIS,184.32874114099832,217.06695
BA,0.8,Degree-based,0.0005548490007640794,477.44775
BA,0.8,Betweenness,0.009060723001311999,420.16815
BA,0.8,PageRank,0.0016376820003642933,316.21995
BA,0.8,Greedy_ES,4.78180200800125,474.56640625
BA,0.8,Greedy_MIS,486.49298091400124,1211.3955
BA,0.9,Degree-based,0.0006460610002250178,886.94775
BA,0.9,Betweenness,0.009672330999819678,705.2706
BA,0.9,PageRank,0.0017116290000558365,504.801
BA,0.9,Greedy_ES,4.849238238999533,1009.2617797851562
BA,0.9,Greedy_MIS,294.5797118819992,655.32195
BA,1.0,Degree-based,0.0005818809986521956,1499.45085
BA,1.0,Betweenness,0.008851300999594969,1076.0319
BA,1.0,PageRank,0.0016647200009174412,746.54865
BA,1.0,Greedy_ES,4.367723577001016,1979.6192626953125
BA,1.0,Greedy_MIS,354.4162913609998,851.36985
