model,p,algo,time,epc
ER,0.0,Greedy,6.9915878030001295,0.0
ER,0.1,Greedy,35.20707414100025,20.06775
ER,0.2,Greedy,76.85453481100012,54.2295
ER,0.30000000000000004,Greedy,253.07823001999986,121.7142
ER,0.4,Greedy,701.1213933460003,333.6237
ER,0.5,Greedy,1821.2564310970001,874.20465
ER,0.6000000000000001,Greedy,3659.526901831,1718.2548
ER,0.7000000000000001,Greedy,5532.318302679,2354.1903
ER,0.8,Greedy,7170.534221782001,2506.4757
ER,0.9,Greedy,8698.464289298001,2800.96605
ER,1.0,Greedy,10613.503790626,2855.66265
